#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:625234-627120|+   -            629 18543                -            519   2.5e-20   69.8   0.1   4   4    0.0036      0.14    8.0   0.0   140   442   442   483   420   534 0.57 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:401521-402741|+   -            407 18543                -            519   5.6e-20   68.6   1.8   1   2   5.6e-15   2.1e-13   46.9   0.2    18    70    39    91    27    98 0.91 contig_1_pilon_386 # 401521 # 402741 # 1 # ID=1_386;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
contig_1_pilon:401521-402741|+   -            407 18543                -            519   5.6e-20   68.6   1.8   2   2   3.8e-07   1.5e-05   21.1   0.1   380   493   125   237   107   269 0.70 contig_1_pilon_386 # 401521 # 402741 # 1 # ID=1_386;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.364
contig_1_pilon:71693-72373|+     -            227 18543                -            519   6.4e-20   68.5   0.0   1   1   2.2e-21   8.4e-20   68.0   0.0     7   216     4   213     2   218 0.86 contig_1_pilon_76 # 71693 # 72373 # 1 # ID=1_76;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:1102685-1104445|+ -            587 18543                -            519   7.2e-20   68.3   0.4   1   1   2.9e-21   1.1e-19   67.7   0.4    24   223   363   560   359   569 0.89 contig_2_pilon_1053 # 1102685 # 1104445 # 1 # ID=5_1053;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_2_pilon:1007882-1008952|+ -            357 18543                -            519   2.2e-19   66.7   4.8   1   1   1.8e-20   6.9e-19   65.0   4.9     7   223     5   236     1   242 0.64 contig_2_pilon_970 # 1007882 # 1008952 # 1 # ID=5_970;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
contig_2_pilon:668370-669008|+   -            213 18543                -            519   4.9e-19   65.5   0.1   1   1   1.6e-20   6.2e-19   65.2   0.1    31   201    29   199    17   208 0.89 contig_2_pilon_620 # 668370 # 669008 # 1 # ID=5_620;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
contig_2_pilon:45844-47598|-     -            585 18543                -            519   6.3e-19   65.2   0.6   1   1   2.6e-20     1e-18   64.5   0.6    13   223   342   550   331   566 0.80 contig_2_pilon_41 # 45844 # 47598 # -1 # ID=5_41;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
contig_2_pilon:86704-87510|+     -            269 18543                -            519   7.5e-19   64.9   1.5   1   1   2.2e-20   8.6e-19   64.7   1.5     7   234     5   242     1   265 0.78 contig_2_pilon_74 # 86704 # 87510 # 1 # ID=5_74;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
contig_1_pilon:136343-138112|+   -            590 18543                -            519   7.7e-19   64.9   3.6   1   1     3e-20   1.2e-18   64.3   3.6    24   222   368   564   362   574 0.86 contig_1_pilon_125 # 136343 # 138112 # 1 # ID=1_125;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.384
